frameNo: 17 | Accumulated: 0MouseOnly?7760685504147
frameNo: 17 | Accumulated: 0MouseOnly?7760685531493
frameNo: 17 | Accumulated: 0MouseOnly?7760685558320
frameNo: 17 | Accumulated: 0MouseOnly?7760685585620
frameNo: 17 | Accumulated: 0MouseOnly?7760685613072
frameNo: 17 | Accumulated: 0MouseOnly?7760685640255
frameNo: 17 | Accumulated: 0MouseOnly?7760685667753
frameNo: 17 | Accumulated: 0MouseOnly?7760685694740
frameNo: 17 | Accumulated: 0MouseOnly?7760685722321
frameNo: 17 | Accumulated: 0MouseOnly?7760685731419
frameNo: 17 | Accumulated: 0MouseOnly?7760685749621
frameNo: 17 | Accumulated: 0MouseOnly?7760685776908
